KP [km],Distance step [m],Time [s],Elapsed time [hh:mm:ss],Elapsed time [s],Speed [km/h],Acceleration [m/s²],Equivalent grade [‰],Radius [m],Speed restriction [km/h],Tractive Effort [kN],Braking Effort [kN],Resistance [kN],Energy source
0.16800000,2.00000000,0.24000000,0:00:25,25.57867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.17000000,2.00000000,0.24000000,0:00:25,25.81867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.17200000,2.00000000,0.24000000,0:00:26,26.05867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.17400000,2.00000000,0.24000000,0:00:26,26.29867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.17600000,2.00000000,0.24000000,0:00:26,26.53867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.17800000,2.00000000,0.24000000,0:00:26,26.77867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.18000000,2.00000000,0.24000000,0:00:27,27.01867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.18200000,2.00000000,0.24000000,0:00:27,27.25867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.18400000,2.00000000,0.24000000,0:00:27,27.49867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.18600000,2.00000000,0.24000000,0:00:27,27.73867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.18800000,2.00000000,0.24000000,0:00:27,27.97867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.19000000,2.00000000,0.24000000,0:00:28,28.21867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.19200000,2.00000000,0.24000000,0:00:28,28.45867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.19400000,2.00000000,0.24000000,0:00:28,28.69867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.19600000,2.00000000,0.24000000,0:00:28,28.93867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.19800000,2.00000000,0.24000000,0:00:29,29.17867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.20000000,2.00000000,0.24000000,0:00:29,29.41867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.20200000,2.00000000,0.24000000,0:00:29,29.65867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.20400000,2.00000000,0.24000000,0:00:29,29.89867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.20600000,2.00000000,0.24000000,0:00:30,30.13867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.20800000,2.00000000,0.24000000,0:00:30,30.37867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.21000000,2.00000000,0.24000000,0:00:30,30.61867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.21200000,2.00000000,0.24000000,0:00:30,30.85867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.21400000,2.00000000,0.24000000,0:00:31,31.09867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.21600000,2.00000000,0.24000000,0:00:31,31.33867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.21800000,2.00000000,0.24000000,0:00:31,31.57867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.22000000,2.00000000,0.24000000,0:00:31,31.81867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.22200000,2.00000000,0.24000000,0:00:32,32.05867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.22400000,2.00000000,0.24000000,0:00:32,32.29867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.22600000,2.00000000,0.24000000,0:00:32,32.53867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.22800000,2.00000000,0.24000000,0:00:32,32.77867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.23000000,2.00000000,0.24000000,0:00:33,33.01867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.23200000,2.00000000,0.24000000,0:00:33,33.25867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.23400000,2.00000000,0.24000000,0:00:33,33.49867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.23600000,2.00000000,0.24000000,0:00:33,33.73867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.23800000,2.00000000,0.24000000,0:00:33,33.97867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.24000000,2.00000000,0.24000000,0:00:34,34.21867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.24200000,2.00000000,0.24000000,0:00:34,34.45867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.24400000,2.00000000,0.24000000,0:00:34,34.69867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.24600000,2.00000000,0.24000000,0:00:34,34.93867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.24800000,2.00000000,0.24000000,0:00:35,35.17867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.25000000,2.00000000,0.24000000,0:00:35,35.41867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.25200000,2.00000000,0.24000000,0:00:35,35.65867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.25400000,2.00000000,0.24000000,0:00:35,35.89867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.25600000,2.00000000,0.24000000,0:00:36,36.13867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.25800000,2.00000000,0.24000000,0:00:36,36.37867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.26000000,2.00000000,0.24000000,0:00:36,36.61867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.26200000,2.00000000,0.24000000,0:00:36,36.85867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.26400000,2.00000000,0.24000000,0:00:37,37.09867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.26600000,2.00000000,0.24000000,0:00:37,37.33867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.26800000,2.00000000,0.24000000,0:00:37,37.57867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.27000000,2.00000000,0.24000000,0:00:37,37.81867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.27200000,2.00000000,0.24000000,0:00:38,38.05867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.27400000,2.00000000,0.24000000,0:00:38,38.29867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.27600000,2.00000000,0.24000000,0:00:38,38.53867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.27800000,2.00000000,0.24000000,0:00:38,38.77867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.28000000,2.00000000,0.24000000,0:00:39,39.01867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.28200000,2.00000000,0.24000000,0:00:39,39.25867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.28400000,2.00000000,0.24000000,0:00:39,39.49867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.28600000,2.00000000,0.24000000,0:00:39,39.73867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.28800000,2.00000000,0.24000000,0:00:39,39.97867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.29000000,2.00000000,0.24000000,0:00:40,40.21867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.29200000,2.00000000,0.24000000,0:00:40,40.45867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.29400000,2.00000000,0.24000000,0:00:40,40.69867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.29600000,2.00000000,0.24000000,0:00:40,40.93867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.29800000,2.00000000,0.24000000,0:00:41,41.17867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.30000000,2.00000000,0.24000000,0:00:41,41.41867480,30.00000000,0.00000000,-0.00000000,650.00000000,30.00000000,4.69324696,0.00000000,4.69324696,AC catenary
0.30200000,2.00000000,0.24000000,0:00:41,41.65867480,30.00000000,0.00000000,-0.32000000,650.00000000,30.00000000,4.08424216,0.00000000,4.08424216,AC catenary
0.30400000,2.00000000,0.24000000,0:00:41,41.89867480,30.00000000,0.00000000,-0.64000000,650.00000000,30.00000000,3.47523736,0.00000000,3.47523736,AC catenary
0.30600000,2.00000000,0.24000000,0:00:42,42.13867480,30.00000000,0.00000000,-0.96000000,650.00000000,30.00000000,2.86623256,0.00000000,2.86623256,AC catenary
0.30800000,2.00000000,0.24000000,0:00:42,42.37867480,30.00000000,0.00000000,-1.28000000,650.00000000,30.00000000,2.25722776,0.00000000,2.25722776,AC catenary
0.31000000,2.00000000,0.24000000,0:00:42,42.61867480,30.00000000,0.00000000,-1.60000000,650.00000000,30.00000000,1.64822296,0.00000000,1.64822296,AC catenary
0.31200000,2.00000000,0.24000000,0:00:42,42.85867480,30.00000000,0.00000000,-1.92000000,650.00000000,30.00000000,1.03921816,0.00000000,1.03921816,AC catenary
0.31400000,2.00000000,0.24000000,0:00:43,43.09867480,30.00000000,0.00000000,-2.24000000,650.00000000,30.00000000,0.43021336,0.00000000,0.43021336,AC catenary
0.31600000,2.00000000,0.24000000,0:00:43,43.33867480,30.00000000,0.00000000,-2.56000000,650.00000000,30.00000000,0.00000000,0.17879144,-0.17879144,AC catenary
